District_en,District_vn,OSM_id,no_coffee_shop,pop(person),area(km2),den(person_per_km2),avg_house_price,coffee_den(shop_per_km2)
District_1,Quận 1,2587287,180,205180,7.73,26543,28.3,23.285899094437255
District_3,Quận 3,3819816,40,196433,4.92,39925,28.1,8.130081300813009
District_4,Quận 4,2778323,20,203060,4.18,48578,26.8,4.784688995215311
District_5,Quận 5,3820432,40,187510,4.27,43913,28.8,9.367681498829041
District_6,Quận 6,6228792,20,258945,7.19,36014,25.9,2.7816411682892905
District_7,Quận 7,2764875,260,324620,35.69,9095,26.7,7.284953768562623
District_8,Quận 8,6888445,70,451290,19.18,23529,24.5,3.6496350364963503
District_10,Quận 10,6228121,30,372450,5.72,65113,25.7,5.244755244755245
District_11,Quận 11,6846181,20,332536,5.14,64695,26.7,3.891050583657588
District_12,Quận 12,6923167,70,520175,52.78,9855,25.7,1.3262599469496021
Binh_Tan_District,Bình Tân,6909710,140,702650,51.89,13541,30.2,2.6980150317980343
Binh_Thanh_District,Bình Thạnh,3797166,50,490618,20.76,23632,28.8,2.4084778420038533
Go_Vap_District,Gò Vấp,6908316,50,663313,19.74,33602,24.9,2.5329280648429586
Phu_Nhuan_District,Phú Nhuận,3851694,50,182477,4.88,37392,27.2,10.245901639344263
Tan_Binh_District,Tân Bình,6846177,100,470350,22.38,21016,30.2,4.468275245755139
Tan_Phu_District,Tân Phú,6846128,90,464493,16.06,28922,26.4,5.603985056039851
Thu_Duc_City,Thủ Đức,11721235,380,524670,48.0,10930,29.642637862421832,7.916666666666667
Binh_Chanh_District,Bình Chánh,7157268,70,680000,253.0,16,14.1,0.2766798418972332
Can_Gio_District,Cần Giờ,7157255,40,74960,704.0,7,16.8,0.056818181818181816
Cu_Chi_District,Củ Chi,7157220,70,403038,435.0,21,10.7,0.16091954022988506
Hoc_Mon_District,Hóc Môn,7157219,90,422471,109.0,12,14.5,0.8256880733944955
Nha_Be_District,Nhà Bè,7157197,110,175360,100.0,7,39.8,1.1
